example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank,global_linear_cka,init_highest_softmax_prob,init_target_softmax_prob,steps_to_correct
58,/home/projects/bagon/shared/imagenet512/val/n03877472/ILSVRC2012_val_00022847.JPEG,313,15.402061462402344,0.000946044921875,0.017779064032894393,0.3947145168393656,0.0,32039,0.958277,0.6042740345001221,0.6042740345001221,0
59,/home/projects/bagon/shared/imagenet512/val/n03535780/ILSVRC2012_val_00012133.JPEG,150,11.737621307373047,0.000949859619140625,0.010094842694679697,0.6887869107805987,0.0,32045,0.965067,0.31021636724472046,0.31021636724472046,0
60,/home/projects/bagon/shared/imagenet512/val/n02749479/ILSVRC2012_val_00038946.JPEG,608,33.91960144042969,0.00099945068359375,0.030999419656822003,0.5974116983258002,0.0,32047,0.962914,0.40157756209373474,0.40157756209373474,0
61,/home/projects/bagon/shared/imagenet512/val/n02840245/ILSVRC2012_val_00030455.JPEG,203,28.54235076904297,0.00099945068359375,0.013543233848237813,0.6090169419457563,0.0,32163,0.970238,0.3899856209754944,0.3899856209754944,0
62,/home/projects/bagon/shared/imagenet512/val/n10148035/ILSVRC2012_val_00006461.JPEG,278,25.852920532226562,0.0009918212890625,0.018661162055971594,0.5760636094434373,0.0,32167,0.953222,0.4229089021682739,0.4229089021682739,0
63,/home/projects/bagon/shared/imagenet512/val/n04548362/ILSVRC2012_val_00046586.JPEG,343,26.707679748535156,0.00099945068359375,0.015917121487734474,0.750663491879367,0.0,32170,0.973999,0.6106221675872803,0.24825972318649292,6
64,/home/projects/bagon/shared/imagenet512/val/n03958227/ILSVRC2012_val_00020845.JPEG,266,63.528541564941406,0.00099945068359375,0.019555549722538132,0.882436944734017,0.0,32224,0.907793,0.7050843238830566,0.11652767658233643,25
65,/home/projects/bagon/shared/imagenet512/val/n02687172/ILSVRC2012_val_00049572.JPEG,481,20.965286254882812,0.00096893310546875,0.024497335745073526,0.688555498745964,0.0,32230,0.931879,0.5740892887115479,0.31042954325675964,6
66,/home/projects/bagon/shared/imagenet512/val/n04553703/ILSVRC2012_val_00003927.JPEG,457,29.47876739501953,0.00099945068359375,0.01571717762649213,0.8264826981442712,0.0,32321,0.965109,0.2148309201002121,0.1725447177886963,3
67,/home/projects/bagon/shared/imagenet512/val/n02939185/ILSVRC2012_val_00020028.JPEG,314,53.37348937988281,0.0009765625,0.020496621292081973,0.7398873080603764,0.0,32342,0.948264,0.5719274878501892,0.2590956687927246,21
68,/home/projects/bagon/shared/imagenet512/val/n04069434/ILSVRC2012_val_00044051.JPEG,756,40.16032028198242,0.000965118408203125,0.03884845277954255,0.5093313417321332,0.0,32344,0.906830,0.4896543323993683,0.4896543323993683,0
69,/home/projects/bagon/shared/imagenet512/val/n04507155/ILSVRC2012_val_00048993.JPEG,254,29.031944274902344,0.0009765625,0.01777613620984554,0.6506140443360763,0.0,32413,0.935565,0.34836724400520325,0.34836724400520325,0
70,/home/projects/bagon/shared/imagenet512/val/n03877845/ILSVRC2012_val_00018403.JPEG,655,41.391883850097656,0.0009765625,0.022262055512739444,0.6426650342919338,0.0,32415,0.981240,0.3563270568847656,0.3563270568847656,0
71,/home/projects/bagon/shared/imagenet512/val/n07716906/ILSVRC2012_val_00033271.JPEG,557,36.2318115234375,0.0009918212890625,0.02472405913866851,0.562361184018909,0.0,32444,0.962102,0.43660908937454224,0.43660908937454224,0
72,/home/projects/bagon/shared/imagenet512/val/n02097209/ILSVRC2012_val_00030213.JPEG,648,41.70420837402344,0.00098419189453125,0.03434055450076841,0.5743192657393951,0.0,32633,0.921976,0.42468637228012085,0.42468637228012085,0
73,/home/projects/bagon/shared/imagenet512/val/n04254777/ILSVRC2012_val_00021633.JPEG,195,20.235382080078125,0.0009918212890625,0.009934154815247629,0.5999795568453354,0.0,32684,0.964026,0.39895302057266235,0.39895302057266235,0
74,/home/projects/bagon/shared/imagenet512/val/n07747607/ILSVRC2012_val_00001778.JPEG,1158,111.77677154541016,0.0009613037109375,0.02349364555908373,0.943330245821709,0.0,32685,0.948786,0.8175470232963562,0.05557188019156456,43
75,/home/projects/bagon/shared/imagenet512/val/n02167151/ILSVRC2012_val_00005947.JPEG,530,40.79743194580078,0.00099945068359375,0.028848320377392943,0.6254867991750338,0.0,32789,0.956867,0.377678781747818,0.3734877109527588,1
76,/home/projects/bagon/shared/imagenet512/val/n07590611/ILSVRC2012_val_00010005.JPEG,261,12.491584777832031,0.0009613037109375,0.019422689137829775,0.27061443422043224,0.0,32792,0.957164,0.7284339070320129,0.7284339070320129,0
77,/home/projects/bagon/shared/imagenet512/val/n02093754/ILSVRC2012_val_00017764.JPEG,442,43.437191009521484,0.000965118408203125,0.026237102245952975,0.7076348657105165,0.0,32831,0.944769,0.2913689911365509,0.2913689911365509,0
78,/home/projects/bagon/shared/imagenet512/val/n02107574/ILSVRC2012_val_00046704.JPEG,378,28.19013214111328,0.00096893310546875,0.02156935771606754,0.6607451714496705,0.0,32859,0.952599,0.3460557162761688,0.33826830983161926,1
79,/home/projects/bagon/shared/imagenet512/val/n02088466/ILSVRC2012_val_00014631.JPEG,491,50.839515686035156,0.00096893310546875,0.02447138240687154,0.8830766243436122,0.0,32925,0.949034,0.20756010711193085,0.11594577133655548,6
80,/home/projects/bagon/shared/imagenet512/val/n02423022/ILSVRC2012_val_00021151.JPEG,415,75.83900833129883,0.000965118408203125,0.02427787444890953,0.8670943187085401,0.0,32979,0.976624,0.19671978056430817,0.13191206753253937,9
81,/home/projects/bagon/shared/imagenet512/val/n02093859/ILSVRC2012_val_00002687.JPEG,434,10.864227294921875,0.0009765625,0.01947292097717265,0.40455853458527763,0.0,33037,0.968236,0.5943945050239563,0.5943945050239563,0
82,/home/projects/bagon/shared/imagenet512/val/n03776460/ILSVRC2012_val_00045235.JPEG,472,28.078659057617188,0.00099945068359375,0.01953935330133224,0.6037115521118117,0.0,33041,0.971989,0.3952920734882355,0.3952920734882355,0
83,/home/projects/bagon/shared/imagenet512/val/n03933933/ILSVRC2012_val_00029034.JPEG,254,49.64508819580078,0.00098419189453125,0.01495086779505995,0.8594292987206905,0.0,33088,0.968616,0.7401678562164307,0.13954518735408783,27
