example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,universal_difficulty_rank
18,/home/projects/bagon/shared/imagenet512/val/n06359193/ILSVRC2012_val_00022255.JPEG,365,28.698646545410156,0.00099945068359375,0.0863430946928551,29615
857,/home/projects/bagon/shared/imagenet512/val/n03961711/ILSVRC2012_val_00027388.JPEG,176,254.33233165740967,0.0009794235229492188,0.08123105292051473,43969
19,/home/projects/bagon/shared/imagenet512/val/n04179913/ILSVRC2012_val_00001715.JPEG,206,24.67868709564209,0.0009899139404296875,0.05620595117949044,30049
858,/home/projects/bagon/shared/imagenet512/val/n07693725/ILSVRC2012_val_00009341.JPEG,356,118.61478805541992,0.0009946823120117188,0.0621196156641685,43978
20,/home/projects/bagon/shared/imagenet512/val/n03825788/ILSVRC2012_val_00048296.JPEG,293,27.769336700439453,0.000995635986328125,0.07897129595983893,30444
21,/home/projects/bagon/shared/imagenet512/val/n04467665/ILSVRC2012_val_00030438.JPEG,197,6.859082221984863,0.0009975433349609375,0.049105733602267165,30453
859,/home/projects/bagon/shared/imagenet512/val/n10148035/ILSVRC2012_val_00031852.JPEG,293,71.35861110687256,0.0009975433349609375,0.07554753054488361,44010
22,/home/projects/bagon/shared/imagenet512/val/n01776313/ILSVRC2012_val_00005788.JPEG,223,8.070884704589844,0.0009946823120117188,0.036382213597325276,30679
860,/home/projects/bagon/shared/imagenet512/val/n02104029/ILSVRC2012_val_00020132.JPEG,685,134.6715955734253,0.00099945068359375,0.12212294452679949,44016
23,/home/projects/bagon/shared/imagenet512/val/n03759954/ILSVRC2012_val_00049557.JPEG,405,32.5152530670166,0.0009937286376953125,0.07079710484959441,30843
24,/home/projects/bagon/shared/imagenet512/val/n03602883/ILSVRC2012_val_00025597.JPEG,292,13.468472480773926,0.0009937286376953125,0.06847136283457647,30879
861,/home/projects/bagon/shared/imagenet512/val/n04483307/ILSVRC2012_val_00014691.JPEG,352,56.93106555938721,0.0009984970092773438,0.1267866989500116,44017
25,/home/projects/bagon/shared/imagenet512/val/n03250847/ILSVRC2012_val_00018929.JPEG,275,30.130279541015625,0.0009965896606445312,0.05803547943215358,31052
