example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank,global_linear_cka,init_highest_softmax_prob,init_target_softmax_prob,steps_to_correct
3628,/home/projects/bagon/shared/imagenet512/val/n04179913/ILSVRC2012_val_00037030.JPEG,310,86.02906322479248,0.0009717941284179688,0.009143005485767151,0.90948280742198,0.0,34449,0.976788,0.08956202119588852,0.08956202119588852,0
3629,/home/projects/bagon/shared/imagenet512/val/n01950731/ILSVRC2012_val_00029111.JPEG,274,52.4627103805542,0.0009794235229492188,0.011029087264695682,0.8775278319803202,0.0,34450,0.946511,0.26000410318374634,0.12147381156682968,13
3630,/home/projects/bagon/shared/imagenet512/val/n03697007/ILSVRC2012_val_00002979.JPEG,142,62.02046298980713,0.0009784698486328125,0.009536149399114296,0.9228514905654149,0.0,34451,0.952781,0.23749549686908722,0.07621365040540695,14
3631,/home/projects/bagon/shared/imagenet512/val/n03534580/ILSVRC2012_val_00041119.JPEG,256,120.6758337020874,0.000988006591796875,0.014723147714533969,0.9818890920099234,0.0,34452,0.906177,0.12726695835590363,0.017129527404904366,20
3632,/home/projects/bagon/shared/imagenet512/val/n01944390/ILSVRC2012_val_00001268.JPEG,114,75.23515701293945,0.000980377197265625,0.007697219941372705,0.9614550659502463,0.0,34454,0.897118,0.7499090433120728,0.03758257254958153,26
3633,/home/projects/bagon/shared/imagenet512/val/n02119022/ILSVRC2012_val_00031470.JPEG,258,121.5761308670044,0.0009851455688476562,0.01533200824115997,0.9838491545650194,0.0,34455,0.940363,0.14433002471923828,0.015173855237662792,23
3634,/home/projects/bagon/shared/imagenet512/val/n03379051/ILSVRC2012_val_00030467.JPEG,787,260.9377374649048,0.0009860992431640625,0.012317098931991654,0.9622606391359025,0.0,34456,0.908066,0.08304121345281601,0.03641122207045555,43
3635,/home/projects/bagon/shared/imagenet512/val/n07697537/ILSVRC2012_val_00049110.JPEG,216,50.31348419189453,0.0009775161743164062,0.007380724862120697,0.9168782791529237,0.0,34457,0.962117,0.11962524056434631,0.08209177106618881,11
3636,/home/projects/bagon/shared/imagenet512/val/n02108551/ILSVRC2012_val_00036949.JPEG,326,258.72980785369873,0.0009756088256835938,0.02152307403660459,0.9927103793782858,0.0,34458,0.922186,0.6005406975746155,0.006307230331003666,57
3637,/home/projects/bagon/shared/imagenet512/val/n04367480/ILSVRC2012_val_00040620.JPEG,370,71.23770999908447,0.000995635986328125,0.01570206902420691,0.8634262433717351,0.0,34459,0.898190,0.1355566531419754,0.1355566531419754,0
3638,/home/projects/bagon/shared/imagenet512/val/n02490219/ILSVRC2012_val_00047085.JPEG,359,168.36984539031982,0.0009851455688476562,0.0125617291712127,0.9922507259344311,0.0,34462,0.928289,0.19362224638462067,0.006760069634765387,26
